Date,Open,High,Low,Close,Adj Close,Volume
1/29/2021,3419.899902,3485,3226.399902,3256.050049,3251.419434,1718833
2/1/2021,3300,3360.800049,3217.25,3340.649902,3335.898926,1285163
2/2/2021,3400,3400,3261,3293.850098,3289.165771,1751516
2/3/2021,3296.550049,3422,3268,3380.800049,3375.991943,1077971
2/4/2021,3441,3515,3404.100098,3440.699951,3435.806641,2425660
2/5/2021,3500,3560,3366,3429.199951,3424.322998,2719249
2/8/2021,3478,3506.899902,3415.399902,3495,3490.029541,1004959
2/9/2021,3461,3538,3456.350098,3499.449951,3494.473145,1543021
2/10/2021,3490,3568.75,3485.25,3538.949951,3533.916992,1477082
2/11/2021,3524,3554,3473.550049,3541.5,3536.463379,757116
2/12/2021,3535.949951,3580,3502.899902,3515.75,3510.75,566161
2/15/2021,3488.949951,3506.149902,3452,3465.399902,3465.399902,809861
2/16/2021,3470,3485.300049,3432,3461.550049,3461.550049,759332
2/17/2021,3463.449951,3595,3457.25,3584,3584,1946207
2/18/2021,3579.649902,3629.050049,3506,3522.850098,3522.850098,1701157
2/19/2021,3522.850098,3522.850098,3370,3389.699951,3389.699951,995322
2/22/2021,3400,3432.949951,3350.149902,3414.149902,3414.149902,921345
2/23/2021,3414.149902,3479.550049,3377.050049,3405.449951,3405.449951,1069305
